service_id varchar(100),monday varchar(100),tuesday varchar(100),wednesday varchar(100),thursday varchar(100),friday varchar(100),saturday varchar(100),sunday varchar(100),start_date varchar(100),end_date varchar(100)
'11_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'11_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'11_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'15_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'15_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'15_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'16_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'16_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'16_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'17_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'17_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'17_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'21_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'21_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'21_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'24_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'24_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'24_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'27_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'27_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'27_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'31_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'31_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'31_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'33_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'33_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'33_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'35_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'35_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'35_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'37_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'37_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'37_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'41_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'41_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'41_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'51_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'51_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'51_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'61_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'61_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'61_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
'98_平日(共通)','1','1','1','1','1','0','0','20240109','20240709'
'98_土曜(共通)','0','0','0','0','0','1','0','20240109','20240709'
'98_日祝(共通)','0','0','0','0','0','0','1','20240109','20240709'
